_a,_b,0_a,0_b,1_a,1_b,2_a,2_b
,,0.937269373,1,0.906288788,1,0.977379428,1
,,0.971583221,1,0.90060917,1,0.976671851,1
,,0.878990731,1.732050808,0.922063359,1,0.971694833,1
,,0.944810544,1,0.880019924,1,0.955541154,1
,,0.930202218,1,0.860073923,1,0.914864093,1
,,0.967511603,1,0.877105187,1,0.973285384,1
,,0.958576592,1,0.875080241,1,0.968162298,1
,,0.963111831,1,0.901379167,1,0.963234238,1
,,0.962198554,1,0.904190845,1,0.98030362,1
,,0.971676013,1,0.851345486,1,0.945339471,1
,,0.816011988,1,0.926277935,1,0.964869194,1
,,0.96836272,1,0.869879668,1,0.962181103,1
,,0.962737399,1,0.882631534,1,0.977140213,1
,,0.783899961,3.605551275,0.887709481,1.414213562,0.950171745,1
,,0.971283888,1,0.90965597,1,0.975266439,1
,,0.948986454,1,0.908885804,1,0.965458567,1
,,0.947975939,1,0.907020281,1,0.982182143,1
,,0.942653594,1,0.899907555,1,0.963489595,1
,,0.977846753,1,0.887460373,1,0.973801182,1
,,0.84683869,1,0.89954938,1,0.966306695,1
,,0.968074031,1,0.896480598,1,0.972240915,1
,,0.962527384,1,0.899230769,1,0.975105324,1
,,0.832990946,1,0.834454616,1,0.901934495,1
,,0.958262189,1,0.884951849,1,0.946010903,1
,,0.968860098,1,0.873951321,1,0.963524274,1
,,0.928286203,1,0.833804587,1,0.928941809,1
,,0.881975243,4,0.861225895,1,0.970287884,1
,,0.972083817,1,0.891127722,1,0.971777369,1
,,0.916591676,2,0.816574027,1,0.955175038,1
,,0.963737619,1,0.912908032,1,0.976649352,1
,,0.967003542,1,0.897120673,1,0.983312044,1
,,0.970721987,1,0.908025922,1,0.979480737,1
,,0.924794504,1,0.848526907,1,0.965132046,1
,,0.821162346,3,0.85327532,2,0.861501336,2
,,0.917376806,1,0.888454012,1,0.974623998,1
,,0.950444965,1,0.875064179,1,0.971114707,1
,,0.879884892,1,0.86203762,1,0.919283092,1
,,0.896463752,1,0.9377863,1,0.966885567,1
,,0.97131721,1,0.866779661,1,0.965978918,1
,,0.933674291,1,0.839894581,1,0.941862174,1
,,0.965596782,1,0.896380479,1,0.929573327,1
,,0.927668184,1,0.852557992,1,0.948540577,1
,,0.950015718,1,0.904052987,1,0.974460882,1
,,0.821450125,2.449489743,0.91520432,1,0.971021117,1
,,0.84504749,1.414213562,0.862086514,1,0.93124396,1.414213562
,,0.966150656,1,0.919520414,1,0.974979212,1
,,0.967229638,1,0.896254459,1,0.972279582,1
,,0.948506401,1,0.889035522,1,0.959674992,1
,,0.947665625,1,0.915982506,1,0.981264637,1
,,0.97029703,1,0.898046181,1,0.976559974,1
,,0.930967784,1.224026108,0.885758601,1.028284271,0.96035527,1.028284271
,,0.930967784,1.224026108,0.885758601,1.028284271,0.96035527,1.028284271
