_a,_b,0_a,0_b,1_a,1_b,2_a,2_b
,,0.910166817,1,0.882784779,1,0.97505104,1
,,0.968908988,1,0.893973635,1,0.968335397,1
,,0.857880137,1,0.896508122,1,0.937764278,1
,,0.88215612,1,0.873167942,1,0.970300323,1
,,0.959003866,1,0.85020994,1,0.969267516,1
,,0.852975889,1.414213562,0.895429999,1.732050808,0.930036875,1.732050808
,,0.961343716,1,0.885078622,1,0.974452239,1
,,0.951076956,1,0.900211034,1,0.963751633,1
,,0.933614477,1,0.871678056,1,0.975061342,1
,,0.952874117,1,0.90593963,1,0.96723908,1
,,0.965359739,1,0.838447088,1,0.969596788,1
,,0.909445166,1,0.86710561,1,0.959977083,1
,,0.833276181,3.605551275,0.904937537,1,0.968470404,1
,,0.971004407,1,0.891827444,1,0.973052612,1
,,0.954210526,1,0.88319493,1,0.973329928,1
,,0.958438482,1,0.838995389,1,0.898555465,1
,,0.943989908,1,0.86126896,1,0.951039704,1
,,0.960456449,1,0.850879864,1,0.967234505,1
,,0.918036665,2,0.847980553,1,0.955663413,1
,,0.912331084,4,0.865374072,1,0.972644377,1
,,0.962467129,1,0.882261378,1,0.973612038,1
,,0.935000619,1.414213562,0.853036292,1,0.973461563,1
,,0.96910747,1,0.906727888,1,0.977653171,1
,,0.894736842,2,0.908156712,1,0.962174506,1
,,0.954659331,1,0.860421352,1,0.973668646,1
,,0.968152127,1,0.859897623,1,0.961339434,1
,,0.918356239,1,0.867431709,1,0.970580549,1
,,0.955448109,1,0.836626105,2,0.865363263,2
,,0.899068864,1,0.892576811,1,0.969780836,1
,,0.93977442,1,0.845723113,1,0.962508098,1
,,0.945502954,1,0.876697671,1,0.946204378,1
,,0.932372551,1,0.92349385,1,0.957851938,1
,,0.968867035,1,0.861052632,1,0.961354559,1
,,0.961415121,1,0.820316767,1,0.943282759,1
,,0.955730154,1,0.847630578,1,0.907926715,1
,,0.949997704,1,0.8019,2,0.880574631,2
,,0.946270655,1,0.916173789,1,0.96969697,1
,,0.934686372,1,0.884937448,1,0.968664125,1
,,0.882359103,1,0.896322959,1,0.968581501,1
,,0.781022938,4.242640687,0.898344384,1,0.957910374,1
,,0.971238655,1,0.900158479,1,0.96411524,1
,,0.958868458,1,0.876096405,1,0.954478917,1
,,0.940465167,1,0.896145409,1,0.974120712,1
,,0.896818598,1,0.898691356,1,0.976468705,1
,,0.955893393,1,0.876119609,1,0.975177305,1
,,0.968999866,1,0.837178929,1,0.971900177,1
,,0.938031105,1,0.820462593,1,0.958413361,1
,,0.961387881,1,0.902853963,1,0.964673248,1
,,0.96907805,1,0.896461717,1,0.977456774,1
,,0.902963444,1,0.869362745,1,0.951054258,1
,,0.933505801,1.233532382,0.874365069,1.054641016,0.958817455,1.054641016
