_a,_b,0_a,0_b,1_a,1_b,2_a,2_b
,,0.94627088,1,0.87237817,1,0.967694835,1
,,0.959809093,1,0.891133558,1,0.961088263,1
,,0.899243329,1,0.911187199,1,0.963810574,1
,,0.927565942,1,0.903842869,1,0.959325858,1
,,0.955589587,1,0.849595607,1,0.910844586,1
,,0.953491157,1,0.849289799,1,0.955399958,1
,,0.920129679,1,0.849410851,1,0.957731805,1
,,0.949533666,1,0.875008984,1,0.957146925,1
,,0.965714916,1,0.891853387,1,0.978086585,1
,,0.959283735,1,0.852500262,1,0.948824611,1
,,0.82105744,1,0.887974629,1,0.951543786,1
,,0.836096584,1,0.847510576,1,0.963418774,1
,,0.958675104,1,0.876366545,1,0.979407564,1
,,0.887707641,1,0.908608754,1.414213562,0.943813103,1
,,0.955529072,1,0.894098506,1,0.97588368,1
,,0.942650968,1,0.894438541,1,0.960902383,1
,,0.88376553,1,0.876565485,1,0.97770105,1
,,0.95481561,1,0.896796551,1,0.964784053,1
,,0.959192414,1,0.864735583,1,0.967966357,1
,,0.925147735,1,0.895502892,1,0.969861448,1
,,0.966564647,1,0.886579648,1,0.971419048,1
,,0.912738929,1,0.881959059,1,0.965973415,1
,,0.94931279,1,0.820022497,1,0.877067669,1
,,0.924866979,1.414213562,0.869817338,1,0.948881977,1
,,0.957643791,1,0.858002282,1,0.959651036,1
,,0.913240477,2,0.82768635,1,0.943010136,1
,,0.864676386,5,0.867979204,1,0.969483686,1
,,0.960596525,1,0.869621204,1,0.965458254,1
,,0.952222097,1,0.870648174,1,0.973305801,1
,,0.962197283,1,0.909016617,1,0.97547763,1
,,0.945218278,1,0.877588847,1,0.975931613,1
,,0.960357796,1,0.890449972,1,0.971342699,1
,,0.908395578,1,0.858444639,1,0.970254682,1
,,0.961930295,1,0.850177591,2,0.854095563,2
,,0.899468037,1,0.885650005,1,0.971924248,1
,,0.935459802,1,0.866270431,1,0.969347526,1
,,0.950440252,1,0.874357192,1,0.931454084,1
,,0.894238302,1,0.924429007,1,0.956527916,1
,,0.958606537,1,0.859730849,1,0.963494325,1
,,0.92921878,1,0.820006983,1,0.942181659,1
,,0.957868821,1,0.892380204,1,0.967321288,1
,,0.935697078,1,0.899545139,1,0.959865629,1
,,0.948262171,1,0.884841795,1,0.970213708,1
,,0.896447753,1,0.879415347,1,0.958105984,1
,,0.871623584,1.414213562,0.859304703,1,0.932656023,1
,,0.962493476,1,0.89663684,1,0.955652435,1
,,0.9532081,1,0.834670715,1.414213562,0.938621815,1.414213562
,,0.933194942,1,0.89113082,1,0.973734298,1
,,0.926618559,1,0.889789181,1,0.977608071,1
,,0.959544254,1,0.894392845,1,0.965808495,1
,,0.932272448,1.116568542,0.875586885,1.036568542,0.957422138,1.028284271
